COMID,totco2g_m2_day_fill
23099940,6.455613996
23099942,69.6856802
23099944,5.969872866
23099946,76.13149624
23099948,12.54233263
23099950,153.4737396
23099952,27.33692461
23099954,11.8066726
23099956,13.79244185
23099958,121.8317566
23099960,20.35708113
23099962,7.995121891
23099964,17.92710591
23099966,10.1180247
23099968,14.15081933
23099970,14.60385414
23099972,28.10920581
23099974,15.9286671
23099976,23.34751506
23099978,10.51460531
23099980,3.195003626
23099982,40.86243298
23099984,15.79319137
23099986,33.83127917
23099988,103.4976807
23099990,21.98874005
23099992,26.38667049
23099994,9.762139998
23099996,6.098622195
23099998,43.44331456
23100000,11.59309505
23100002,45.49253281
23100004,7.411965227
23100006,45.89867825
23100008,117.7748308
23100010,37.01383219
23100012,18.53111737
23100014,6.246773864
23100016,18.37595993
23100018,5.528084759
23100020,0.171010371
23100022,2.262230396
23100024,0.261814512
23100026,2.565724134
23100028,2.626583338
23100030,0.02556635
23100034,2.477898121
23100038,0.323058522
23100040,2.152273178
23100042,5.512879372
23100044,6.510410786
23100046,5.269636154
23100048,19.08785057
23100050,1.661489248
23100050,1.661489248
23100052,0.054747233
23100054,0.040401842
23100056,2.425577164
23100058,0.126679058
23100060,0.107925328
23100062,0.062859873
23100064,0.013928681
23100066,0.091912326
23100068,0.622682577
23100070,1.101180712
23100072,0.631924469
23100074,1.098107591
23100076,1.202009234
23100078,1.386346274
23100080,1.288163468
23100082,0.865835341
23100084,1.724752415
23100086,4.172412252
23100088,4.936420565
23100090,20.57234764
23100092,3.027741417
23100094,8.251478652
23100096,7.779012022
23100098,12.3497094
23100100,20.71625013
23100102,7.973008222
23100104,10.68779048
23100106,8.455738894
23100108,11.71317053
23100110,4.754607831
23100112,7.661494593
23100114,8.160792371
23100116,28.6024298
23100118,23.98056183
23100120,14.92315566
23100122,34.67652097
23100124,40.49193233
23100126,13.80636345
23100128,3.561722407
23100130,2.655440021
23100132,1.676738248
23100134,3.260021915
23100136,1.291555075
23100138,1.077876148
23100140,1.273423839
23100142,9.616613897
23100144,1.566157021
23100146,0.857370852
23100148,0.215254422
23100150,0.325382729
23100152,1.773687562
23100154,2.194402875
23100156,6.561589122
23100158,1.620727644
23100160,1.660753489
23100162,1.890696117
23100164,25.73316002
23100166,52.53780133
23100168,5.577349603
23100170,15.90203449
23100172,17.25295877
23100174,20.95907687
23100176,32.63957818
23100178,20.08283615
23100180,29.7137914
23100182,14.24883646
23100184,17.65636838
23100186,20.37787219
23100188,22.35797735
23100190,11.00551903
23100192,12.92986149
23100194,90.78362828
23100196,36.74038366
23100198,25.50206592
23100200,11.52920528
23100202,7.908127562
23100204,11.76587962
23100206,6.074131429
23100208,5.183490543
23100210,3.492094808
23100212,1.528914069
23100214,12.30000998
23100216,13.30738625
23100218,9.487384054
23100220,24.16891375
23100222,23.09323389
23100224,26.57108209
23100226,9.911345455
23100228,19.85375402
23100230,21.87128011
23100232,18.73585052
23100234,12.46757105
23100236,4.078323357
23100238,3.331128043
23100240,108.6464005
23100242,0.008908853
23100244,0.045322574
23100246,0.224428184
23100248,1.417810016
23100250,0.93119581
23100252,0.035895178
23100254,3.302418102
23100258,1.772981098
23100260,1.012545914
23100262,10.28213596
23100264,0.897857663
23100266,4.968468165
23100268,1.071579841
23100270,1.010540933
23100272,2.612354129
23100274,7.780209161
23100276,0.268239291
23100278,8.261385575
23100280,9.147707371
23100282,2.98159716
23100284,3.110415337
23100286,1.572882199
23100288,1.471065562
23100290,0.432828889
23100292,1.306477988
23100294,1.068798554
23100296,20.34116188
23100298,8.428921114
23100300,13.68842196
23100302,15.37934477
23100304,13.00786647
23100306,13.06541811
23100308,2.454377445
23100310,9.583493897
23100312,3.099497427
23100314,3.850351312
23100316,0.350839656
23100318,0.812323949
23100320,0.072748108
23100322,1.920485843
23100324,1.573575525
23100326,0.291084706
23100328,1.216842472
23100330,2.862133519
23100332,2.272347533
23100334,1.178344133
23100336,3.103312958
23100338,3.031005964
23100340,3.616133242
23100342,10.35206363
23100344,7.078821334
23100346,5.79034298
23100348,16.12902437
23100350,7.883399388
23100352,16.05740159
23100354,33.11557945
23100356,6.181885259
23100358,6.432231289
23100360,3.055152314
23100362,2.847561367
23100364,5.104141166
23100366,4.83017695
23100368,2.846847254
23100370,3.741104323
23100372,7.487897703
23100374,5.832536143
23100376,2.71029006
23100378,30.46244812
23100380,2.04757697
23100382,1.353742331
23100384,0.80608903
23100386,1.318061178
23100388,2.109699194
23100390,16.44772874
23100392,3.235456852
23100394,6.56810051
23100396,0.501849144
23100398,7.038281905
23100400,4.653436001
23100402,10.515282
23100404,10.34517274
23100406,29.79698563
23100408,4.416144781
23100410,2.211851999
23100412,1.959653656
23100414,4.413783666
23100416,4.514341081
23100418,3.135420404
23100420,6.038058596
23100422,3.987588962
23100424,1.032797457
23100426,1.274840262
23100428,4.347350025
23100430,13.13303568
23100432,14.91996115
23100434,3.623241848
23100436,4.227014669
23100438,2.470415193
23100440,4.287941496
23100442,6.148698346
23100444,6.516146655
23100446,2.356044517
23100448,2.010961489
23100450,98.44520569
23100452,98.13906097
23100454,0.036203923
23100456,0.067329494
23100458,0.013530893
23100460,0.026725098
23100462,0.038038645
23100464,0.037968778
23100466,0.015154412
