COMID,totco2g_day_fill
23752402,320870.3034
23752404,258646.7783
23752406,258763.6956
23752408,119182.2674
23752410,34277.79049
23752414,5384.644043
23752416,344606.875
23752418,815347.2758
23752420,1028189.223
23752422,786387.3407
23752424,838797.7381
23752426,375090.1524
23752428,450373.527
23752430,352890.3082
23752432,60703.73795
23752434,120164.6219
23752436,1437.204689
23752438,193007.4989
23752440,139360.0752
23752442,67655.3873
23752444,235575.8281
23752446,6261228.5
23752448,11589591.02
23752450,9917378.499
23752452,10419149.27
23752454,7831830.493
23752456,4995636.5
23752458,2790159.555
23752460,3199336.863
23752462,5661546.166
23752464,5591290.109
23752466,4214758.5
23752468,4889832.5
23752470,2599318.75
23752472,5069999.982
23752474,5185.153673
23752476,1499733.386
23752478,4990799.015
23752480,4317853.126
23752482,3387958.396
23752484,1116548.96
23752486,502668.398
23752488,2724484.839
23752490,940893.8125
23752492,3448318.597
23752494,1365152.045
23752496,2326466.5
23752498,1694536.883
23752500,2483884
23752502,1045730.938
23752504,957288.8125
23752506,2797721.523
23752508,2679128.282
23752510,2507490.857
23752512,2272116.5
23752514,2796428.707
23752516,858098.5625
23752518,2233200.25
23752520,2533534.35
23752522,351085.8577
23752524,160542.4818
23752526,128667.217
23752528,100068.0302
23752530,222255.5156
23752532,1876542.37
23752534,2520810.597
23752536,1122607.925
23752538,427727.3326
23752540,262687.6793
23752542,267450.7188
23752544,265056.3197
23752546,0
23752548,221005.3125
23752550,2211348.178
23752552,1320070.875
23752554,755453.4673
23752556,2094901.164
23752558,1598467.106
23752560,1738714.91
23752562,1359073.175
23752564,911337.5199
23752566,538069.8164
23752570,969058.5943
23752572,1009020.309
23752574,964858.296
23752576,795057.3473
23752578,783593.1611
23752580,691347.8499
23752582,115375.3561
23752584,80852.58302
23752586,400130.8601
23752588,331810.9769
23752590,155126.3361
23752592,218939.2693
23752594,5177594.5
23752596,12324839.26
23752598,9267426.97
23752600,7840735.38
23752602,2552759
23752604,2131431.25
23752606,6090242
23752608,1844871.625
23752610,712285.5758
23752612,389274.8602
23752614,586014.087
23752616,351044.1467
23752618,246752.7247
23752620,194883.7171
23752622,89610.25003
23752624,265622.5881
23752626,198445.6346
23752628,129304.3466
23752630,882397.6408
23752632,4907054.533
23752634,10129.36342
23752636,5052244.619
23752638,3423591.25
23752640,4980759.986
23752642,1796541.995
23752644,4834877.324
23752646,1141117.968
23752648,3541827.15
23752650,2775552.381
23752652,1127716.348
23752654,554941.0251
23752656,433614.6259
23752658,285187.4144
23752660,170553.0061
23752662,1280919.959
23752664,950469.0467
23752666,1582715.991
23752668,1638354.501
23752670,973512.6155
23752672,919251.5753
23752674,942059.4748
23752676,174865.9737
23752678,703098.5123
23752680,148987.2969
23752682,329459.6465
23752684,195866.4845
23752686,132132.3861
23752688,243741.1371
23752690,107455.9348
23752692,83394.80005
23752694,2831043.699
23752696,1799511.863
23752698,675638.1411
23752700,482251.0146
23752702,318223.2235
23752704,248890.0679
23752706,171872.1336
23752708,224142.006
23752710,164534.5056
23752712,119408.7953
23752714,91842.17408
23752716,263284.7188
23752718,695606.1781
23752720,179892.152
23752722,71671.43468
23752724,42957.99741
23752726,14624.2886
23752728,186098.9939
23752730,132334.9925
23752732,273247.3973
23752734,71419.4774
23752736,26751.38477
23752738,110051.8385
23752740,148663.8284
23752742,81858.37174
23752744,60383.1141
23752746,124881.0836
23752748,77131.09808
23752750,60380.69012
23752752,266598.1431
23752754,159156.7013
23752756,102256.5319
23752758,75522.01595
23752760,307649.349
23752762,164349.2022
23752764,288061.4994
23752766,242226.6091
23752768,278807.0347
23752770,183317.0992
23752772,166679.4646
23752774,9152.030301
23752776,162718.338
23752778,128065.7837
23752780,227999.3005
23752782,176223.8654
23752784,118046.6103
23752786,77604.99898
23752788,62634.08392
23752790,95776.88671
23752792,47837.11119
23752794,164980.2298
23752796,80579.6146
23752798,162940.5715
23752800,40156.1631
23752802,44079.82578
23752804,128770.7926
23752806,443073.8795
23752808,324770.4164
23752810,24986.80978
23752812,40019.7892
23752814,51642.8982
23752816,98939.90704
23752818,201536.4715
23752820,78281.2917
23752822,238316.8272
23752824,867.974838
23752826,111381.5047
23752828,145327.8309
23752830,112430.5202
23752832,71801.82673
23752834,58221.69446
23752836,10148181
23752838,5233183.5
23752840,40719.60066
23752842,56834.94419
23752844,35324120
23752846,50801.12367
23752848,76130.76812
23752850,3250.989616
23752852,51192.32342
23752854,11148.41555
23752856,120544.2986
23752858,63223.99521
23752860,160638.1121
23752862,18321.72026
23752864,12660.13215
23752866,17646.58989
23752868,12614.78887
23752870,17181.92737
23752872,35846.43859
23752874,16681.00858
23752876,66785.33589
23752878,6349.801992
23752880,63267.64225
23752882,106540.5986
23752884,15707.79004
23752886,100450.6831
23752888,42048.73159
23752890,0
23752892,44858.41604
23752894,56621.70838
23752896,71408.55493
23752898,254444.1486
23752900,340977.626
23752902,22038.99039
23752904,58344.63773
23752906,84543.33649
23752908,445956.1665
23752910,28104.06181
23752912,48807.01488
23752914,92091.98622
23752916,39953.31462
23752918,24990.62975
23752920,546524.9412
23752922,50863.48299
23752924,116950.0973
23752926,83097.59433
23752928,61256.71249
23752930,37934.71233
23752932,49279.91342
23752934,17994.66263
23752936,197936.0423
23752938,11061.99642
23752940,97867.20888
23752942,104275.0858
23752944,33054.57485
23752946,166398.0189
23752948,93797.95003
23752950,48189.70767
23752952,33932.46403
23752954,31904.6911
23752956,93732.06329
23752958,69557.82584
23752960,16982.80632
23752962,13413.86389
23752964,243690.5313
23752966,26819.01584
23752968,41760.30107
23752970,19799.12365
23752972,75863.79452
23752974,488485.2188
23752976,140215.0388
23752978,76877.29726
23752980,119380.0665
23752982,248757.5313
23752984,89824.64655
23752986,74645.59414
23752988,18132.50959
23752990,80985.73011
23752992,82852.43798
23752994,28721.55718
23752996,62973.33699
23752998,45149.91711
23753000,0
23753002,145166.114
23753004,16779.00088
23753006,49095.25759
23753008,44660.28386
23753010,34255.31495
23753012,23114.18218
23753014,47152.68921
23753016,118842.7501
23753018,89773.73614
23753020,53175.18487
23753022,72292.03636
23753024,71722.67951
23753026,7632.792887
23753028,0
23753030,110789.3157
23753032,165174.875
23753034,38358.94451
23753036,12342.77943
23753038,56415.75781
23753040,296009.0844
23753042,95496.6309
23753044,28951.58761
23753046,44753.58164
23753048,1296.056457
23753050,273774.0625
23753052,43894.30159
23753054,35532.62458
23753056,54224.28099
23753058,13681.83053
23753060,13252.03091
23753062,34440.3863
23753064,10472.66365
23753066,46964.24199
23753068,182515.6521
23753070,44995.46585
23753072,48222.16249
23753074,45703.06479
23753076,26392.12578
23753078,26547.18345
23753080,291891.8125
23753082,28734.20756
23753084,62192.9414
23753086,67195.87595
23753088,16120.51347
23753090,140881.0781
23753092,108793.3359
23753094,125149.7646
23753096,9857.062249
23753098,267942.9688
23753102,57586.70836
23753104,14292.21561
23753106,77895.34907
23753108,69208.62214
23753110,962240.5625
23753112,19290.67291
23753114,83229.68711
23753116,19304.00401
23753118,199199.6367
23753120,37783.09352
23753122,60678.01767
23753124,58861.51175
23753126,20435.83742
23753128,16154.03703
23753130,12428.95751
23753132,29176.24192
23753134,20527.64129
23753136,40795.65608
23753138,29952.21942
23753140,50376.22477
23753142,142997.0079
23753144,43574.69786
23753146,27878.20142
23753148,175395.4219
23753150,42133.81677
23753152,17869.73392
23753154,47798.46076
23753156,62027.14455
23753158,49130.5149
23753160,52287.36929
23753162,91002.44959
23753164,24771.47112
23753166,25945.33981
23753168,41840.76921
23753170,20531.08932
23753172,43445.34501
23753174,18554.93182
23753176,850756.0625
23753178,18181.27449
23753180,26680.5817
23753182,23674.96299
23753184,2859.167762
23753186,17008.55525
23753188,907432.625
23753190,114593.1719
23753192,48616.79753
23753194,22509.31693
23753196,0
23753198,36279.6518
23753200,64638.70874
23753202,66656.03458
23753204,20706.44571
23753206,16202.23962
23753208,15698.21121
23753210,18163.78447
23753212,46034.62595
23753214,0
23753216,0
23753218,15472.46718
23753220,61735.75364
23753222,45871.87767
23753224,891200.1875
23753226,32790.81822
23753228,223871.1563
23753230,17698.00748
23753232,9874.806575
23753234,17311.51954
23753236,33990.96493
23753238,59514.81953
23753240,33511.37282
23753242,12113.90904
23753244,35517.94407
23753246,39155.87301
23753248,48119.12992
23753250,42610.92707
23753252,58336.80559
23753254,31942.49537
23753256,49236.31003
23753258,20186.74726
23753260,60031.61733
23753262,84513.14712
23753264,21959.01525
23753266,27187.19393
23753268,14555.62282
23753270,116878.346
23753272,4177.218809
23753274,156109.6277
23753276,112586.0811
23753278,31404.72616
23753280,622069.8296
23753282,33365.06022
23753284,80530.58594
23753286,234467.375
23753288,34063.64655
23753290,31377.72035
