"comid","tocomid","TOT_NLCD01_11","TOT_NLCD01_12","TOT_NLCD01_21","TOT_NLCD01_22","TOT_NLCD01_23","TOT_NLCD01_24","TOT_NLCD01_31","TOT_NLCD01_41","TOT_NLCD01_42","TOT_NLCD01_43","TOT_NLCD01_52","TOT_NLCD01_71","TOT_NLCD01_81","TOT_NLCD01_82","TOT_NLCD01_90","TOT_NLCD01_95","TOT_NODATA"
23099502,23099500,0,0,0.13,0.04,0,0,0,0,0.02,0.01,91.73,6.49,0,1.58,0,0,NA
23099504,23099502,0,0,0.06,0.01,0,0,0,0,0.03,0.01,93.66,5.84,0,0.4,0,0,NA
23099506,23099504,0,0,0.02,0,0,0,0,0,0.03,0.01,94.68,5.27,0,0,0,0,NA
23099508,23099506,0,0,0,0,0,0,0,0,0.03,0.01,95.02,4.94,0,0,0,0,NA
23099510,23099508,0,0,0,0,0,0,0,0,0.03,0.01,94.92,5.04,0,0,0,0,NA
23099512,23099510,0,0,0,0,0,0,0,0,0.03,0.01,95.79,4.17,0,0,0,0,NA
23099514,23099512,0,0,0,0,0,0,0,0,0.03,0.01,95.8,4.16,0,0,0,0,NA
23099516,23099514,0,0,0,0,0,0,0,0,0.03,0.01,95.72,4.24,0,0,0,0,NA
23099518,23099516,0,0,0,0,0,0,0,0,0.04,0.01,97.82,2.13,0,0,0,0,NA
23099520,23099518,0,0,0,0,0,0,0,0,0.04,0.02,97.75,2.2,0,0,0,0,NA
23099522,23099520,0,0,0,0,0,0,0,0,0.04,0.02,97.69,2.26,0,0,0,0,NA
23099524,23099522,0,0,0,0,0,0,0,0,0.05,0.02,97.54,2.4,0,0,0,0,NA
23099526,23099524,0,0,0,0,0,0,0,0,0.05,0.01,97.44,2.5,0,0,0,0,NA
23099528,23099526,0,0,0,0,0,0,0,0,0.05,0.01,97.33,2.61,0,0,0,0,NA
23099530,23099528,0,0,0,0,0,0,0,0,0.06,0.01,97.34,2.59,0,0,0,0,NA
23099532,23099530,0,0,0,0,0,0,0,0,0.07,0,97.2,2.73,0,0,0,0,NA
23099534,23099532,0,0,0,0,0,0,0,0,0.07,0,97.11,2.82,0,0,0,0,NA
23099536,23099534,0,0,0,0,0,0,0,0,0.08,0,97.04,2.89,0,0,0,0,NA
23099538,23099536,0,0,0,0,0,0,0,0,0.09,0,98.14,1.78,0,0,0,0,NA
23099540,23099538,0,0,0,0,0,0,0,0,0.13,0,98.38,1.49,0,0,0,0,NA
23099542,23099540,0,0,0,0,0,0,0,0,0.14,0,98.25,1.61,0,0,0,0,NA
23099544,23099542,0,0,0,0,0,0,0,0,0.13,0,98.97,0.9,0,0,0,0,NA
23099546,23099544,0,0,0,0,0,0,0,0,0.24,0,98.9,0.85,0,0,0,0,NA
23099548,23099464,0.59,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.31,0.03,39.32,5.01,3.24,11.8,1.13,0.52,NA
23099550,23099548,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.34,0.03,39.28,5.01,3.24,11.8,1.13,0.52,NA
23099552,23099550,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.34,0.03,39.28,5.01,3.24,11.8,1.13,0.52,NA
23099554,23099552,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.34,0.03,39.28,5.01,3.24,11.8,1.13,0.52,NA
23099558,947030104,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.38,0.03,39.23,4.99,3.25,11.82,1.13,0.52,NA
23099560,23099558,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.39,0.03,39.23,4.99,3.25,11.82,1.13,0.52,NA
23099562,23099560,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.39,0.03,39.23,4.99,3.25,11.82,1.13,0.52,NA
23099564,23099562,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.4,0.03,39.22,4.98,3.25,11.82,1.13,0.52,NA
23099566,23099564,0.58,0.05,2.54,1.87,0.59,0.13,0.78,0.09,32.43,0.03,39.2,4.98,3.25,11.82,1.13,0.52,NA
23099568,23099566,0.58,0.05,2.53,1.87,0.59,0.13,0.78,0.09,32.44,0.03,39.2,4.98,3.25,11.82,1.13,0.52,NA
23099570,23099568,0.58,0.05,2.53,1.87,0.59,0.13,0.78,0.09,32.46,0.03,39.21,4.98,3.26,11.8,1.13,0.53,NA
23099572,23099570,0.58,0.05,2.53,1.87,0.59,0.13,0.78,0.09,32.47,0.03,39.2,4.98,3.26,11.79,1.13,0.53,NA
23099576,947030106,0.58,0.05,2.51,1.85,0.59,0.13,0.79,0.09,32.69,0.03,39.21,5.01,3.21,11.61,1.14,0.53,NA
23099578,23099576,0.58,0.05,2.51,1.85,0.59,0.13,0.79,0.09,32.69,0.03,39.21,5.01,3.21,11.61,1.14,0.53,NA
23099580,23099578,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.71,0.03,39.2,5.01,3.21,11.61,1.14,0.53,NA
23099582,23099580,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.72,0.03,39.21,5.01,3.2,11.6,1.14,0.53,NA
23099584,23099582,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.72,0.03,39.21,5.01,3.2,11.6,1.14,0.53,NA
23099586,23099584,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.72,0.03,39.21,5.01,3.2,11.6,1.14,0.53,NA
23099588,23099586,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.72,0.03,39.21,5.01,3.2,11.6,1.14,0.53,NA
23099590,23099588,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.72,0.03,39.21,5.01,3.2,11.6,1.14,0.53,NA
23099594,947030107,0.58,0.05,2.49,1.85,0.59,0.13,0.79,0.09,32.99,0.03,39.16,4.97,3.2,11.38,1.15,0.53,NA
23099596,23099594,0.58,0.05,2.49,1.85,0.59,0.13,0.79,0.09,32.99,0.03,39.16,4.97,3.2,11.38,1.15,0.53,NA
23099598,23099596,0.58,0.05,2.49,1.85,0.59,0.13,0.79,0.09,33,0.03,39.15,4.97,3.2,11.39,1.15,0.53,NA
23099600,23099598,0.58,0.05,2.49,1.85,0.59,0.13,0.79,0.09,33.01,0.03,39.14,4.97,3.2,11.39,1.15,0.53,NA
23099602,23099600,0.58,0.05,2.49,1.85,0.59,0.13,0.79,0.09,33.02,0.03,39.13,4.97,3.2,11.39,1.15,0.53,NA
23099606,947030110,0.58,0.05,2.49,1.85,0.59,0.13,0.8,0.09,33.08,0.03,39.14,4.98,3.18,11.32,1.15,0.53,NA
23099608,23099606,0.58,0.05,2.49,1.85,0.59,0.13,0.8,0.09,33.08,0.03,39.14,4.98,3.18,11.32,1.15,0.53,NA
23099610,23100534,0.07,0,4.86,1.48,0.18,0.03,0,0,0,0,42.66,6.59,4.77,39.23,0.03,0.1,NA
23099612,23099610,0.07,0,4.8,1.45,0.18,0.03,0,0,0,0,42.75,6.61,4.76,39.22,0.03,0.1,NA
23099614,23099612,0.07,0,4.8,1.45,0.18,0.03,0,0,0,0,42.77,6.61,4.75,39.23,0.03,0.1,NA
23099616,23099614,0.07,0,4.62,1.41,0.17,0.03,0,0,0,0,43.37,6.65,4.61,38.99,0.02,0.06,NA
23099618,23099616,0.01,0,2.14,0.68,0.07,0.01,0,0,0,0,52.25,7.36,3.49,33.97,0.02,0,NA
23099620,23099618,0.01,0,1.91,0.62,0.05,0.01,0,0,0,0,52.94,7.39,3.23,33.82,0.02,0,NA
23099622,23099620,0,0,1.89,0.58,0.04,0.01,0,0,0,0,53.75,7.51,3.17,33.04,0.01,0,NA
23099624,23099622,0,0,1.47,0.31,0.01,0,0,0,0,0,58.92,8.86,1.83,28.6,0,0,NA
23099626,23099624,0,0,1.34,0.23,0.01,0,0,0,0,0,60.67,9.03,1.32,27.39,0,0,NA
23099628,23099626,0,0,1.32,0.22,0.01,0,0,0,0,0,61.65,9.19,0.95,26.66,0,0,NA
23099630,23099628,0,0,1.28,0.11,0,0,0,0,0,0,64.55,9.4,0.25,24.41,0,0,NA
23099632,23099630,0,0,1.31,0.03,0,0,0,0,0,0,65.47,9.42,0.13,23.64,0,0,NA
23099634,23099632,0,0,1.15,0.02,0,0,0,0,0,0,55.33,16.38,0,27.11,0,0,NA
23099636,23099634,0,0,1.13,0.02,0,0,0,0,0,0,52.03,16.63,0,30.19,0,0,NA
