"comid","tocomid","TOT_NLCD01_11","TOT_NLCD01_12","TOT_NLCD01_21","TOT_NLCD01_22","TOT_NLCD01_23","TOT_NLCD01_24","TOT_NLCD01_31","TOT_NLCD01_41","TOT_NLCD01_42","TOT_NLCD01_43","TOT_NLCD01_52","TOT_NLCD01_71","TOT_NLCD01_81","TOT_NLCD01_82","TOT_NLCD01_90","TOT_NLCD01_95","TOT_NODATA"
23106096,23101032,0.02,0,3.02,0.6,0.05,0.01,0,0,0,0.03,82.89,1.1,3.63,8.66,0,0,NA
23106142,23106144,0,0,3.67,12.15,2.54,0,0,0,0,0,0.56,0,27.12,53.95,0,0,NA
23106144,23106146,0,0,3.67,12.15,2.54,0,0,0,0,0,0.56,0,27.12,53.95,0,0,NA
23106146,23106148,0,0,4.41,6.18,0.93,0.18,0,0,0,0,0.99,0.64,16.44,70.24,0,0,NA
23106148,947030206,0,0,8.2,6.66,1.11,0.09,0,0,0,0,2.24,0.33,15.83,65.44,0,0.1,NA
23106162,23102094,0,0,7.15,1.25,0.15,0,0,0,0,0,51.68,23.5,0.92,15.35,0,0,NA
23106166,23102144,0.05,0,3.57,0.44,0.04,0,0,0,0,0,33.37,41.08,0.99,20.46,0,0.01,NA
23106168,23106202,0,0,4.09,2.56,0.56,0.15,0,0,0,0,26.95,0.84,11.32,53.51,0.04,0,NA
23106202,23106206,0.01,0,7.56,4.95,1.68,0.44,0,0,0,0,21.7,0.83,13.27,49.43,0.09,0.04,NA
23106206,23102864,0.02,0,7.41,4.56,1.53,0.4,0,0,0,0,24.23,0.83,12.09,47.38,0.82,0.73,NA
23106226,23106168,0,0,3.89,2.29,0.34,0.08,0,0,0,0,24.64,1.18,11.06,56.52,0,0,NA
23106300,23102834,0.45,0,10.89,5.14,1.12,0,0,0,0,0,15.81,0,0,62.57,2.65,1.37,NA
23106318,23106320,0.39,0,5.58,4.02,1.12,0.13,0,0,0,0,2.32,0.16,1.19,84.73,0.36,0,NA
23106320,23106322,0.33,0,5.52,4.06,1.1,0.14,0,0,0,0,2.5,0.3,1,84.74,0.31,0,NA
23106322,23106324,0.24,0,6.04,3.71,0.92,0.11,0,0,0,0,3.81,0.23,3.42,81.3,0.22,0,NA
23106324,23106326,0.24,0,6,3.67,0.9,0.11,0,0,0,0,3.76,0.23,3.37,81.51,0.21,0,NA
23106326,23106354,0.18,0,6.54,3.34,0.77,0.1,0,0,0,0,6.7,0.33,3.78,78.1,0.16,0,NA
23106334,23103124,0.18,0,6.74,3.35,0.69,0.1,0,0.01,0,0.02,7.15,0.26,3.02,78.2,0.24,0.06,NA
23106338,0,0.02,0,7.83,5.37,1.57,0.36,0,0.01,0,0,21.87,0.71,10.37,49.36,1.29,1.24,NA
23106346,0,0.18,0,4.99,4.19,0.75,0.13,0,0,0,0,8.14,0.16,12.2,69.27,0,0,NA
23106354,23106334,0.19,0,6.44,3.18,0.7,0.1,0,0,0,0,7.3,0.27,3.25,78.35,0.2,0.01,NA
23106372,23106374,0.03,0,4.15,1.82,0.33,0.01,0,0,0,0,6.62,0.46,6.57,77.31,1.11,1.58,NA
23106374,23106412,0.02,0,3.77,1.88,0.29,0.03,0,0,0,0,5.39,0.33,4.62,81.9,0.74,1.02,NA
23106380,23106414,0.01,0,3.75,2.08,0.3,0.03,0,0,0.01,0,3.56,0.34,3.14,85.09,0.6,1.07,NA
23106398,23106400,0.36,0,9.7,8.38,3.53,0.43,0,0,0,0,13.35,0.28,9,54.92,0.01,0.02,NA
23106400,23107344,0.36,0,9.69,8.38,3.53,0.43,0,0,0,0,13.36,0.28,9,54.92,0.01,0.02,NA
23106404,23106422,0.16,0,2.19,0.89,0.01,0.02,0,0,0,0,54.14,1.51,0,37.15,0.35,3.58,NA
23106408,23106418,0,0,2.35,0.53,0,0,0,0,0,0,72.76,4.61,0,19.63,0.04,0.07,NA
23106412,23106380,0.02,0,3.61,2.07,0.27,0.02,0,0,0,0,4.64,0.27,3.88,83.54,0.69,0.98,NA
23106414,23099728,0.27,0,6.9,4.05,1.11,0.13,0,0,0,0.01,8.09,0.29,2.97,74.32,0.91,0.95,NA
23106418,23106422,0.18,0,2.38,0.66,0.01,0,0,0,0,0,65.03,4.56,0,26.26,0.43,0.48,NA
23106422,23107296,0.18,0,2.32,0.86,0.02,0.01,0,0,0,0,59.5,3.06,0,30.64,0.56,2.84,NA
23106494,23106506,0.1,0,3.43,1.14,0.29,0.02,0,0,0,0,16,0.58,6.19,67.05,2.45,2.76,NA
23106498,23106520,0,0,6.48,5.05,1.9,0.24,0,0,0,0,0.86,0,0.03,84.56,0.88,0,NA
23106500,23106372,0.05,0,3.61,1.48,0.25,0.01,0,0,0,0,9.61,0.73,10.17,70.61,1.38,2.11,NA
23106506,23106500,0.09,0,3.35,1.34,0.29,0.02,0,0,0,0,14.89,0.52,7.2,67.66,2.19,2.46,NA
23106520,23106318,0.16,0,4.61,4,1.33,0.16,0,0,0,0,0.95,0.12,1,87.21,0.46,0,NA
23106562,23106632,0,0,3.72,0.41,0,0,0,0,0,0,61.96,32.39,0,1.51,0,0,NA
23106614,23107212,0.01,0,2.41,2.37,0.25,0,0,0.01,0,0.04,34.36,0.6,12.91,47.04,0,0,NA
23106616,23106614,0.01,0,2.4,2.36,0.25,0,0,0.01,0,0.04,34.33,0.57,12.9,47.12,0,0,NA
23106618,23106616,0.01,0,2.34,2.34,0.25,0,0,0.01,0,0.04,33.51,0.46,12.49,48.55,0,0,NA
23106620,23106618,0.01,0,2.2,2.19,0.24,0,0,0.01,0,0.04,32.82,0.47,12.23,49.77,0,0.01,NA
23106622,23106620,0,0,2.2,2.93,0.32,0,0,0.02,0,0.07,34.82,0.57,13.95,45.11,0,0.01,NA
23106624,23106622,0,0,2.21,3.02,0.34,0,0,0.03,0,0.07,32.78,0.6,13.71,47.22,0,0.01,NA
23106632,23107282,0,0,3.6,0.47,0,0,0,0,0,0,64.64,29.5,0,1.77,0.03,0,NA
23106640,23106624,0,0,2.33,3.4,0.38,0,0,0.03,0,0.08,34.83,0.67,14.78,43.49,0,0.01,NA
23106898,23100246,0,0,0.9,0.01,0,0,0,0.17,4.51,0.02,85.43,8.71,0,0.07,0.09,0.09,NA
23106914,23106404,0.18,0,2.14,0.76,0.01,0.02,0,0,0,0,55.22,1.61,0,37.53,0.31,2.22,NA
23106926,23106914,0.05,0,1.79,0.57,0.01,0.02,0,0,0,0,64.89,1.84,0,30.18,0.16,0.48,NA
23106960,23104564,0.01,0,2.13,1,0.05,0,0,0,0,0,62.83,9.05,0,24.92,0,0.01,NA
23106966,23106960,0,0,1.84,0.28,0.01,0,0,0,0,0,78.44,9.93,0,9.51,0,0,NA
23107012,23106926,0,0,1.13,0.63,0.02,0.05,0,0,0,0,66.77,3.61,0,27.79,0,0,NA
23107032,23103244,0,0,8.4,6.47,3.82,0.19,0,0.16,0,0,2.37,0.07,0,65.63,4.82,8.06,NA
23107034,23107032,0,0,8.79,6.97,4.14,0.21,0,0.17,0,0,2.47,0.08,0,64.28,4.84,8.05,NA
23107212,947030035,0.01,0,2.85,2.67,0.3,0,0,0.01,0,0.04,36.32,0.6,12.51,44.7,0,0,NA
23107224,23107226,0,0,4.04,1.23,0.09,0,0,0,0,0,23.87,3.68,13.72,53.17,0.17,0.02,NA
23107226,23106044,0,0,4.05,1.23,0.09,0,0,0,0,0,23.87,3.68,13.72,53.16,0.18,0.02,NA
23107232,23107300,0.01,0,1.78,2.42,0.66,0.22,0.02,0.08,25.8,0.09,47.64,1.52,3.78,13.65,1.28,1.06,NA
23107282,23099562,0,0,3.6,0.47,0,0,0,0,0,0,64.64,29.5,0,1.77,0.03,0,NA
23107296,23099690,0.18,0,2.32,0.86,0.02,0.01,0,0,0,0,59.47,3.06,0,30.62,0.62,2.85,NA
23107300,23105452,0.01,0,1.78,2.42,0.66,0.22,0.02,0.08,25.8,0.09,47.64,1.52,3.78,13.65,1.28,1.06,NA
23107302,23105506,6.67,0,33.33,20,0,0,0,0,0,0,0,0,0,0,40,0,NA
23107314,23107336,0.01,0,1.6,1.05,0.09,0,0,0,0,0,58.92,14.36,1.69,22.29,0,0,NA
23107316,23107320,0.02,0,1.95,1.6,0.39,0.08,0,0,0,0,48.48,11.69,3.52,32.26,0,0,NA
23107318,947030164,0,0,3.59,2.02,0.69,0,0,0,0,0,0,0,17.58,76.12,0,0,NA
23107320,23107322,0.02,0,2.27,1.54,0.55,0.07,0,0,0,0,59.28,9.35,3.4,23.52,0.01,0,NA
23107322,23107340,0.03,0,2.39,1.63,0.58,0.08,0,0,0,0,58.05,9.14,3.32,24.77,0,0,NA
23107324,23107326,0.07,0,4.56,3.28,0.3,0.02,0,0,0,0,28.97,7.26,7.74,47.49,0.15,0.15,NA
23107326,23099730,0.1,0,5.1,3.72,0.43,0.04,0,0,0,0,23.73,5.72,9.82,50.55,0.29,0.5,NA
23107330,23107346,0.08,0,5.91,3.65,0.48,0.01,0,0,0,0,0.35,0.25,5.7,83.52,0,0.04,NA
23107332,23107334,0.1,0,8.45,4.92,0.63,0,0,0,0,0,16.72,0.1,10.65,58.4,0,0.02,NA
23107334,23106398,0.09,0,8.91,6.92,2.6,0.22,0,0,0,0,15.21,0.09,10.09,55.85,0,0.02,NA
23107336,23107316,0.02,0,1.86,1.44,0.21,0.01,0,0,0,0,49.49,11.95,3.59,31.44,0,0,NA
23107340,23107348,0.03,0,2.22,1.46,0.44,0.06,0,0,0,0,53.91,12.62,3.15,26.1,0,0,NA
23107342,23107348,0.1,0,6.31,4.57,1.15,0.12,0,0,0,0,10.68,0.48,9.53,67.05,0,0,NA
23107344,23105682,0.09,0,4.1,3.06,1.01,0.12,0,0,0,0,39.77,8.52,5.02,38.15,0.15,0.01,NA
23107346,947030163,0.12,0,4.9,3.49,0.37,0.04,0,0,0,0,28.68,3.9,9.49,48.96,0.01,0.04,NA
23107348,23107344,0.05,0,3.06,2.1,0.58,0.07,0,0,0,0,45.08,10.15,4.41,34.5,0,0,NA
23107356,23107320,0.03,0,2.68,1.44,0.81,0.05,0,0,0,0,77.42,5.82,3.25,8.5,0,0,NA
23107406,23107408,0.01,0,1.78,2.42,0.66,0.22,0.02,0.08,25.8,0.09,47.64,1.52,3.78,13.65,1.28,1.06,NA
23107408,23105454,0.01,0,1.78,2.41,0.66,0.22,0.02,0.08,25.79,0.09,47.63,1.52,3.78,13.65,1.28,1.07,NA
23107410,23105450,0,0,21.25,1.88,0,0,0,0,0,0,28.75,0.63,0,27.5,12.5,7.5,NA
23107412,23100038,0.02,0,1.79,2.21,0.6,0.2,0.02,0.07,23.4,0.08,47.9,1.51,3.83,15.58,1.42,1.38,NA
23107416,23103402,0.02,0,1.79,2.24,0.6,0.21,0.02,0.07,23.67,0.08,47.75,1.52,3.87,15.43,1.4,1.32,NA
23107464,23104746,0,0,4.05,2.58,0.93,0.02,0,0.01,0,0.02,25.17,0.82,0,66.38,0,0.02,NA
23107466,23107464,0,0,3.3,0.86,0.2,0.01,0,0,0,0,23.99,1.21,0,70.42,0,0.02,NA
23107468,23107538,0,0,0,0,0,0,0,0,0,0,9.97,0,0,90.03,0,0,NA
23107470,23107538,0,0,0,0,0,0,0,0,0,0,22.6,4.61,0,72.78,0,0,NA
23107472,23107544,0,0,0.36,0,0,0,0,0,0,0,12.67,1.16,0,85.81,0,0,NA
23107474,23107464,0,0,1.78,0.64,0.08,0,0,0,0,0.02,27.45,0.6,0,69.4,0,0.02,NA
23107476,23107474,0,0,1.79,0.61,0.07,0,0,0,0,0,25.59,0.62,0,71.29,0,0.02,NA
23107478,23107476,0,0,1.9,0.6,0.06,0,0,0,0,0,20.92,0.67,0,75.82,0,0.02,NA
23107480,23107476,0,0,0.1,0.99,0.2,0,0,0,0,0,98.72,0,0,0,0,0,NA
23107482,23107478,0,0,2.65,1.94,0.1,0,0,0,0,0,29.69,0.07,0,65.45,0,0.09,NA
23107484,23107482,0,0,1.89,2.34,0.12,0,0,0,0,0,19.33,0,0,76.19,0,0.12,NA
23107486,23107482,0,0,7.75,1.58,0.07,0,0,0,0,0,37.37,0.3,0,52.93,0,0,NA
23107490,23107492,0,0,1.74,0.14,0.05,0,0,0,0,0,15.47,0.9,0,81.71,0,0,NA
23107492,23107478,0,0,1.69,0.18,0.05,0,0,0,0,0,17.53,0.87,0,79.68,0,0,NA
23107494,23107490,0,0,0,0,0,0,0,0,0,0,48.62,0,0,51.38,0,0,NA
23107496,23107490,0,0,1.86,0.1,0.05,0,0,0,0,0,12.45,0.96,0,84.58,0,0,NA
23107498,23107514,0,0,3.23,2.11,0.11,0,0,0,0,0,46.5,0,0,48.05,0,0,NA
23107512,23107486,0,0,5.78,2.14,0.11,0,0,0,0,0,45.78,0,0,46.2,0,0,NA
23107514,23107512,0,0,4.8,2.07,0.11,0,0,0,0,0,45.91,0,0,47.11,0,0,NA
23107522,23107496,0,0,1.04,0.04,0,0,0,0,0,0,6.56,0,0,92.36,0,0,NA
23107524,23107496,0,0,1.99,0.11,0.05,0,0,0,0,0,11.5,1.09,0,85.24,0,0,NA
23107526,23107524,0,0,0,0,0,0,0,0,0,0,9.65,0,0,90.35,0,0,NA
23107528,23107524,0,0,2.07,0.11,0.06,0.01,0,0,0,0,11.35,1.14,0,85.27,0,0,NA
23107530,23107528,0,0,1.94,0,0,0,0,0,0,0,0,0,0,98.06,0,0,NA
23107532,23107540,0,0,2.05,0.1,0.03,0,0,0,0,0,11.28,1.33,0,85.21,0,0,NA
23107534,23107540,0,0,2.85,0.1,0,0,0,0,0,0,8.03,0.46,0,88.57,0,0,NA
23107536,23107532,0,0,3.19,0.14,0.04,0,0,0,0,0,9,0.62,0,87,0,0,NA
23107538,23107532,0,0,0.35,0.05,0,0,0,0,0,0,17.38,2.84,0,79.37,0,0,NA
23107540,23107528,0,0,2.13,0.1,0.02,0,0,0,0,0,10.94,1.24,0,85.57,0,0,NA
23107542,23107536,0,0,7.79,0.07,0,0,0,0,0,0,7.22,1.04,0,83.89,0,0,NA
23107544,23107536,0,0,0.16,0,0,0,0,0,0,0,11.13,0.5,0,88.21,0,0,NA
23107546,23107544,0,0,0,0,0,0,0,0,0,0,8.74,0,0,91.26,0,0,NA
23107574,23102512,0.11,0,11.93,8.42,2.22,0.3,0,0,0,0,23.77,0.23,10.18,39.5,1.24,2.09,NA
23107580,23102146,0.25,0,2.07,1.22,0.13,0,0,0.08,0.02,0,83.43,0.08,7.18,5.27,0,0.27,NA
23107584,23100070,0,0,1.41,2.64,0.62,0.18,0.01,0.06,27.81,0.11,57.39,0.78,2.33,3.8,1.77,1.08,NA
23107594,23100150,0,0,0.21,2.62,0.99,0.18,0,0,37.24,0.04,56.88,0.07,0,0.34,1.26,0.18,NA
23107602,23107356,0.03,0,2.04,0.35,0.03,0,0,0,0,0,82.16,6.18,3.32,5.89,0,0,NA
23107606,23100164,0,0,0.5,3.16,1.24,0.5,0.02,0.12,48.78,0.13,40.93,1.44,0.08,1.22,1.39,0.5,NA
23107610,23103540,0,0,2.08,1.33,0.08,0,0,0,0,0,30.81,2.79,9.69,53.2,0,0,NA
23107614,23103532,0,0,1.89,0.66,0.04,0,0,0,0,0,53.57,14.48,6.93,22.44,0,0,NA
23107618,23104238,0.01,0,6.34,2.23,0.36,0.02,0,0,0,0,11.96,0.41,19.95,58.71,0,0,NA
23107622,23104670,0.02,0,5.61,6.09,2.21,0.02,0,0.01,0,0.02,32.27,0.95,5.92,46.85,0.02,0.02,NA
23107626,23100534,0.2,0,2.6,0.46,0.05,0,0,0,0,0,43.92,0.99,5.3,46.38,0.05,0.06,NA
23735689,23735703,0.81,0.03,2.56,2.92,1.66,0.64,1.02,0.66,51.1,4.19,9.5,2.84,12.52,8.03,1.26,0.26,NA
23735691,23735689,0.81,0.03,2.56,2.92,1.66,0.64,1.02,0.66,51.1,4.19,9.5,2.84,12.52,8.03,1.26,0.26,NA
23735693,24520498,0.95,0.03,1.06,0.58,0.22,0.05,0.54,0.3,32.09,0.26,29.05,7.31,1.71,8.14,0.43,0.36,NA
23735695,23735693,0.95,0.03,1.06,0.58,0.22,0.05,0.54,0.3,32.09,0.26,29.05,7.31,1.71,8.14,0.43,0.36,NA
23735697,23735695,0.95,0.03,1.06,0.58,0.22,0.05,0.54,0.3,32.09,0.26,29.05,7.31,1.71,8.14,0.43,0.36,NA
23735699,23735697,0.95,0.03,1.06,0.58,0.22,0.05,0.54,0.3,32.09,0.26,29.05,7.31,1.71,8.14,0.43,0.36,NA
23735701,23735699,0.95,0.03,1.06,0.58,0.22,0.05,0.54,0.3,32.09,0.26,29.05,7.31,1.71,8.14,0.43,0.36,NA
23735703,23735701,0.95,0.03,1.06,0.58,0.22,0.05,0.54,0.3,32.09,0.26,29.05,7.31,1.71,8.14,0.43,0.36,NA
23735705,23735703,0.96,0.03,0.98,0.47,0.15,0.03,0.52,0.29,31.14,0.07,30.03,7.54,1.17,8.14,0.39,0.36,NA
23735707,23735705,0.96,0.03,0.98,0.47,0.15,0.03,0.52,0.29,31.14,0.07,30.03,7.54,1.17,8.14,0.39,0.36,NA
23735709,23735707,0.96,0.03,0.98,0.46,0.15,0.02,0.52,0.29,31.14,0.07,30.03,7.54,1.17,8.14,0.39,0.36,NA
23735711,23735709,0.95,0.03,0.98,0.46,0.15,0.02,0.51,0.29,31.14,0.07,30.03,7.54,1.17,8.14,0.39,0.36,NA
23735713,23735711,0.95,0.03,0.98,0.46,0.15,0.02,0.51,0.29,31.14,0.07,30.03,7.54,1.17,8.14,0.39,0.36,NA
23735715,23735713,0.95,0.03,0.98,0.46,0.14,0.02,0.51,0.29,31.14,0.07,30.03,7.54,1.17,8.14,0.39,0.36,NA
23735717,23735715,0.95,0.03,0.98,0.46,0.14,0.02,0.51,0.29,31.14,0.07,30.03,7.54,1.17,8.14,0.39,0.36,NA
23735719,23735717,0.95,0.03,0.98,0.46,0.14,0.02,0.51,0.29,31.14,0.07,30.04,7.54,1.17,8.14,0.39,0.36,NA
23735721,23735719,0.95,0.03,0.98,0.46,0.14,0.02,0.51,0.29,31.15,0.07,30.04,7.54,1.17,8.14,0.39,0.36,NA
23735723,23735721,0.95,0.03,0.98,0.46,0.14,0.02,0.51,0.29,31.05,0.06,30.08,7.55,1.17,8.15,0.39,0.36,NA
23736303,23736329,8.6,0,8.92,33.08,25.75,6.65,0.19,0.35,0.74,0.14,1.29,1.4,6.97,1.15,3.44,1.35,NA
23736305,23736303,8.71,0,9.01,33.14,25.94,6.75,0.16,0.34,0.69,0.12,1.19,1.33,6.68,1.16,3.48,1.3,NA
23736307,23736305,9.02,0,9.25,34.23,27,7,0.16,0.24,0.67,0.09,0.89,1.37,4.6,0.87,3.52,1.1,NA
23736309,23736307,9.08,0,9.17,34.17,27.1,7.06,0.17,0.24,0.67,0.09,0.87,1.33,4.62,0.88,3.48,1.09,NA
23736311,23736309,3.1,0,10.81,39.54,31.28,7.21,0.01,0.21,0.81,0.11,0.66,1.2,3.33,0.84,0.72,0.17,NA
23736313,23736311,0.17,0,11.59,41.06,33.25,7.5,0.01,0.22,0.87,0.12,0.51,0.63,2.97,0.54,0.42,0.15,NA
23736315,23736313,0.07,0,11.62,41.16,33.36,7.53,0.01,0.2,0.87,0.12,0.48,0.63,2.97,0.55,0.31,0.14,NA
23736317,23736315,0.07,0,11.61,41.15,33.38,7.53,0.01,0.2,0.87,0.12,0.47,0.63,2.97,0.55,0.31,0.14,NA
23736319,23736317,0,0,11.61,41.16,33.52,7.57,0,0.12,0.87,0.12,0.46,0.63,2.99,0.55,0.28,0.13,NA
23736321,23736319,0,0,10.87,39.58,35.32,7.7,0,0.07,0.97,0.08,0.52,0.73,3.13,0.65,0.31,0.08,NA
23736323,23736565,2.77,0,15.36,24.58,12.91,2.97,0.21,2.33,8.65,3.06,5.43,1.31,14.78,2.2,2.47,0.99,NA
23736325,23736323,17.89,0,0,0,0,0,0,0,0,0,2.03,0,52.85,14.63,0,12.6,NA
23736327,23736323,2.72,0,15.41,24.65,12.95,2.98,0.21,2.33,8.67,3.07,5.41,1.31,14.69,2.2,2.45,0.95,NA
23736329,23736327,2.75,0,15.63,25,13.14,3.02,0.2,2.36,8.8,3.11,5.48,1.33,14.19,1.59,2.48,0.92,NA
23736331,23736329,0.12,0,18.64,21.45,7.54,1.41,0.2,3.27,12.4,4.44,7.35,1.3,17.33,1.76,2.05,0.72,NA
23736333,23736331,0.11,0,18.68,21.48,7.55,1.41,0.2,3.28,12.43,4.43,7.35,1.3,17.27,1.77,2.03,0.69,NA
23736335,23736333,0.11,0,18.7,21.5,7.55,1.42,0.2,3.28,12.44,4.43,7.35,1.31,17.24,1.77,2.02,0.67,NA
23736337,23736335,0.11,0,18.7,21.5,7.56,1.42,0.2,3.28,12.44,4.43,7.34,1.31,17.24,1.77,2.02,0.67,NA
23736339,23736337,0.11,0,18.8,21.58,7.61,1.42,0.21,3.3,12.5,4.43,7.34,1.32,17.11,1.62,1.97,0.66,NA
23736341,23736339,0.11,0,18.82,21.6,7.61,1.43,0.21,3.3,12.52,4.44,7.34,1.32,17.1,1.6,1.94,0.66,NA
23736343,23736341,0.11,0,18.84,21.58,7.64,1.43,0.21,3.28,12.56,4.45,7.32,1.32,17.12,1.61,1.88,0.64,NA
23736345,23736343,0.11,0,18.85,21.59,7.64,1.43,0.21,3.29,12.56,4.44,7.31,1.32,17.12,1.61,1.87,0.64,NA
23736347,23736345,0.11,0,18.89,21.52,7.59,1.44,0.21,3.28,12.61,4.45,7.31,1.32,17.17,1.61,1.84,0.65,NA
23736349,23736347,0.11,0,18.89,21.52,7.59,1.44,0.21,3.28,12.61,4.45,7.31,1.32,17.17,1.61,1.84,0.65,NA
23736351,23736349,0.11,0,18.9,21.53,7.6,1.44,0.21,3.28,12.61,4.45,7.3,1.32,17.17,1.61,1.83,0.64,NA
23736353,23736351,0.11,0,18.9,21.53,7.6,1.44,0.21,3.27,12.61,4.45,7.3,1.32,17.17,1.61,1.83,0.64,NA
23736355,23736353,0.11,0,18.88,21.49,7.6,1.44,0.21,3.28,12.63,4.46,7.31,1.33,17.18,1.62,1.82,0.64,NA
23736357,23736355,0.11,0,18.88,21.49,7.6,1.44,0.21,3.28,12.63,4.46,7.31,1.33,17.18,1.62,1.82,0.64,NA
23736359,23736357,0.1,0,18.87,21.48,7.5,1.43,0.21,3.28,12.69,4.48,7.35,1.33,17.26,1.63,1.8,0.59,NA
23736361,23736359,0.1,0,18.88,21.47,7.5,1.43,0.21,3.28,12.69,4.48,7.35,1.33,17.27,1.63,1.8,0.59,NA
23736363,23736361,0.1,0,18.86,21.4,7.46,1.44,0.21,3.29,12.73,4.5,7.37,1.33,17.32,1.63,1.79,0.59,NA
23736365,23736363,0.1,0,18.88,21.37,7.43,1.44,0.21,3.3,12.76,4.51,7.38,1.32,17.36,1.63,1.78,0.53,NA
23736367,23736365,0.1,0,18.93,20.65,6.66,1.22,0.22,3.33,13.22,4.66,7.65,1.36,17.99,1.69,1.84,0.47,NA
23736369,23736367,0.09,0,19.11,19.76,5.66,0.98,0.22,3.42,13.83,4.85,7.98,1.39,18.76,1.78,1.82,0.35,NA
23736371,23736369,0.08,0,19.01,18.71,5.1,0.94,0.23,3.51,14.26,5.01,8.25,1.42,19.39,1.84,1.88,0.36,NA
23736373,23736371,0.08,0,18.06,17.99,4.72,0.85,0.29,4,17.37,6.05,9.47,1.58,15.51,1.73,2.03,0.26,NA
23736375,23736373,0.07,0,17.58,17.8,4.85,0.87,0.3,4.04,17.85,6.19,9.75,1.6,15.15,1.64,2.07,0.24,NA
23736377,23736375,0.09,0,16.73,13.07,1.51,0.18,0.38,4.97,22.49,7.79,11.83,1.77,15.04,1.55,2.42,0.18,NA
23736379,23736377,0.1,0,16.87,12.74,1.54,0.18,0.42,5.19,24.02,8.29,12.41,1.78,12.6,1.22,2.48,0.16,NA
23736381,23736379,0.01,0,15.69,10.92,0.5,0.05,0.51,5.06,26.27,9.16,13.44,1.92,12.3,1.37,2.65,0.15,NA
23736383,23736381,0.01,0,15.53,10.69,0.47,0.05,0.52,5.13,26.73,9.3,13.65,1.96,11.83,1.32,2.65,0.15,NA
23736385,23736383,0,0,10.95,8.46,0.16,0.01,0.73,6.11,31.12,11.52,17.21,2.17,7.82,0.95,2.71,0.08,NA
23736387,23736385,0,0,10.11,8.2,0.14,0.01,0.81,6.56,33.36,12.52,18.25,2.21,4.62,0.4,2.78,0.03,NA
23736389,23736387,0,0,8.57,7.62,0.13,0.01,0.9,6.58,34.94,13.26,19.16,2.38,3.5,0.1,2.82,0.02,NA
23736391,23736389,0,0,6.38,6.79,0.12,0.01,0.98,6.46,36.88,13.53,19.8,2.53,3.53,0.11,2.86,0.02,NA
23736393,23736391,0,0,5.82,5.27,0.12,0.01,1.71,5.39,43.61,11.45,20.43,2.88,0.48,0,2.82,0,NA
23736395,23736393,0,0,4.43,3.52,0.11,0.01,2.09,3.27,48.92,9,22.69,2.63,0.56,0,2.77,0,NA
23736397,23736395,0,0,3.2,1.91,0.08,0.01,2.38,2.7,51.01,8.19,24.2,2.57,0.63,0,3.13,0,NA
23736399,23736397,0,0,1.37,0.96,0.05,0,1.81,2.49,55.44,4.86,27.15,2.28,0.22,0,3.36,0,NA
23736401,23736399,0,0,2.18,1.59,0.08,0,0.43,2.99,60.65,4.24,22.4,0.78,0,0,4.67,0,NA
23736525,23736371,0.13,0,22.19,16.23,4.69,0.96,0,1.62,2.35,0.84,4.06,0.63,41.37,2.51,1.62,0.81,NA
23736527,23736525,0.16,0,17.91,13.66,4.65,1.1,0,1.65,2.29,0.69,4.46,0.66,47.3,2.81,1.71,0.94,NA
23736529,23736527,0.08,0,17.41,14.32,5.51,1.31,0,1.47,1.39,0.65,4.64,0.53,48.2,2.93,1.28,0.28,NA
23736531,23736529,0,0,19.32,15.58,7.4,1.87,0,1.81,1.71,0.6,4.63,0.57,42.96,2.07,1.07,0.41,NA
23736533,23736531,0,0,19.66,15.86,8.16,2.07,0,2,1.63,0.61,4.99,0.61,40.65,2.11,1.19,0.45,NA
23736535,23736391,0,0,7.12,9.21,0.12,0,0,7.84,27.85,15.72,19.09,2.13,7.85,0.29,2.74,0.04,NA
23736537,23736535,0,0,6.37,8.86,0.11,0,0,7.91,28.7,15.95,18.85,2.05,7.99,0.31,2.84,0.05,NA
23736539,23736537,0,0,4.16,4.57,0.08,0,0,9.37,30.4,17.54,18.28,1.77,10.56,0.43,2.76,0.07,NA
23736541,23736539,0,0,6.94,6.59,0.05,0,0,7.34,25.44,18.91,12.34,0.12,19.79,0.48,1.95,0.06,NA
23736555,23736379,0.54,0,21.58,19.77,5.82,0.76,0,5.86,15.04,4.77,8.18,1.16,13.86,0.59,1.83,0.24,NA
23736557,23736555,1.71,0,16.63,10.58,0.3,0,0,5.39,24.24,5.9,12.21,1.83,18.69,0.23,2.16,0.13,NA
23736559,24520498,0.95,0.03,1.07,0.6,0.23,0.06,0.54,0.31,32.08,0.27,29.03,7.31,1.72,8.13,0.43,0.36,NA
23736561,23736559,2.7,0,14.9,23.5,11.91,2.7,0.19,3.12,8.15,3.22,5.26,1.3,16.89,2.48,2.63,1.06,NA
23736563,23736561,2.68,0,15.04,23.67,12.04,2.72,0.19,3.08,8.24,3.19,5.28,1.27,16.55,2.45,2.6,1,NA
23736565,23736563,2.72,0,15.24,24.02,12.26,2.78,0.19,2.74,8.33,3.14,5.29,1.21,16.1,2.38,2.59,1.01,NA
23736567,23736565,1.57,0,14.69,18.7,5.46,0.71,0,7.67,4.57,3.81,3.69,0.06,30.22,4.31,3.9,0.64,NA
23736569,23736567,1.58,0,14.73,18.72,5.47,0.71,0,7.7,4.57,3.8,3.7,0.06,30.15,4.32,3.91,0.58,NA
